JG3-J:14708-000,N23
JG3-J:14709-000,N23
JG3-J:14710-000,N23
JG3-J:14711-000,N23
JG3-J:14713-000,N23
JG3-J:14715-000,N23
JG3-J:14717-000,N23
JG3-J:14719-000,N23
JG3-J:14722-000,N23
JG3-J:14724-000,N23
JG3-J:14726-000,N23
JG3-J:14728-000,N23
JG3-J:14730-000,N23
JG3-J:14732-000,N23
JG3-J:14734-000,N23
JG3-J:14736-000,N23
JG3-J:14738-000,N23
JG3-J:14740-000,N23
JG3-J:14743-000,N23
JG3-J:14745-000,N23
JG3-J:14747-000,N23
JG3-J:14749-000,N23
JG3-J:14751-000,N23
JG3-J:14753-000,N23
JG3-J:14755-000,N23
JG3-J:14757-000,N23
JG3-J:14760-000,N23
JG3-J:14762-000,N23
JG3-J:14763-000,N23
JG3-J:14765-000,N23
JG3-J:14767-000,N23
JG3-J:14769-000,N23
JG3-J:14771-000,N23
JG3-J:14772-000,N23
JG3-J:14775-000,N23
JG3-J:14776-000,N23
JG3-J:14778-000,N23
JG3-J:14780-000,N23
JG3-J:14783-000,N23
JG3-J:14784-000,N23
