P_style,P_schedule,P_color
SFPFMN09,766996,SFBlack
SFPFMN09,766997,SFBlack
SFPFMN09,766998,SFBlack
SFPFMN09,766999,SFBlack
SFPFMN09,767000,SFBlack
SFPFMN09,767001,SFBlack
SFPFMN09,767002,SFBlack
SFPFMN09,767003,SFBlack
SFPFMN09,767004,SFBlack
SFPFMN09,767005,SFBlack
SFPFMN09,767006,SFBlack
SFPFMN09,767007,SFBlack
SFPFMN09,767008,SFBlack
SFPFMN09,767009,SFBlack
SFPFMN09,767010,SFBlack
SFPFMN09,767011,SFBlack
SFPFMN09,767012,SFBlack
SFPFMN09,767013,SFBlack
SFPFMN09,767014,SFBlack
SFPFMN09,767015,SFBlack
SFPFMN09,767016,SFBlack
SFPFMN09,767017,SFBlack
SFPFMN09,767018,SFBlack
SFPFMN09,767019,SFBlack
SFPFMN09,767020,SFBlack
SFPFMN09,767021,SFBlack
SFPFMN09,767022,SFBlack
SFPFMN09,767023,SFBlack
SFPFMN09,767024,SFBlack
SFPFMN09,767025,SFBlack
SFPFMN09,767026,SFBlack
SFPFMN09,767027,SFBlack
SFPFMN09,767028,SFBlack
SFPFMN09,767029,SFBlack
SFPFMN09,767030,SFBlack
SFPFMN09,767031,SFBlack
SFPFMN09,767032,SFBlack
SFPFMN09,767033,SFBlack
SFPFMN09,767034,SFBlack
SFPFMN09,767035,SFBlack
SFPFMN09,767036,SFBlack
